Bib,Coureur,Equipe,E1,E2,E3,E4,E5,E6,E7,General,Points,GPM/KOM,Jeune,Abitibien,Total
21,"LARRONDE, Ellande",France,260,75,150,45,75,110,260,400,100,0,0,0,1475
154,"SCOTT, Oliver",NorthStar Dev. Cycling,30,260,110,0,75,0,150,200,60,0,0,0,885
16,"HINSE, Jonathan",Canada,0,75,0,110,150,260,0,0,40,0,0,0,635
101,"MORIN, Ben",PNW Racing Foundation,150,30,45,0,75,75,0,150,0,0,100,0,625
31,"CHURCH, Nolan",USA,0,30,45,45,260,0,0,95,0,0,0,0,475
36,"MEDINA GARZON, Joaquin",USA,0,75,45,45,90,75,30,115,0,0,0,0,475
12,"GUILBAULT, Mikael",Canada,75,0,30,30,0,150,90,45,0,0,0,0,420
64,"NARITA, Koshi",Japon,30,30,0,45,110,75,0,45,0,0,0,0,335
41,"MENDOZA RUIZ, Victor Manuel",Colombie,0,30,0,150,0,75,75,0,0,0,0,0,330
65,"KAMIYA, Keito",Japon,30,0,30,0,30,30,110,95,0,0,0,0,325
13,"TRUFFER, Carl",Canada,110,90,75,30,0,0,0,0,0,0,0,0,305
71,"SEGUIN, Gabriel",Equipe du Quebec,30,0,30,75,30,30,0,95,0,0,0,0,290
33,"DIEMAR, Jack",USA,0,150,30,0,0,30,75,0,0,0,0,0,285
11,"MCMULLEN, Jayden",Canada,75,110,60,0,0,30,0,0,0,0,0,0,275
15,"BOURASSA, Maxime",Canada,0,0,30,0,75,0,0,95,0,0,60,0,260
22,"MEUNIER, Victor",France,75,75,0,30,30,0,0,45,0,0,0,0,255
103,"RIGBY, Monty",PNW Racing Foundation,0,0,30,0,75,0,0,95,0,0,40,0,240
76,"CORBEIL, Maxime",Equipe du Quebec,30,0,30,0,75,0,0,95,0,0,0,0,230
115,"TARDIF, Nolan",EC Subway,0,0,0,0,30,0,0,45,0,0,0,150,225
45,"SALDARRIAGA BERDUGO, Tomas",Colombie,75,0,30,60,0,0,0,45,0,0,0,0,210
102,"FRANCIS, Graham",PNW Racing Foundation,0,0,0,45,0,90,75,0,0,0,0,0,210
132,"FRY, Nathanael",Ignite JR Cycling,75,75,0,0,0,30,30,0,0,0,0,0,210
23,"CARREAU, Thomas",France,30,0,45,0,30,0,0,45,0,0,0,0,150
104,"WONG, Oscar",PNW Racing Foundation,0,30,0,30,0,0,75,0,0,0,0,0,135
113,"CROTEAU, Louis",EC Subway,0,75,0,30,0,0,30,0,0,0,0,0,135
14,"TAYLOR, Albert",Canada,30,0,45,0,0,0,0,45,0,0,0,0,120
25,"BERGAUD, Sacha",France,75,0,45,0,0,0,0,0,0,0,0,0,120
63,"IWAMURA, Genji",Japon,0,0,30,0,0,30,0,0,0,60,0,0,120
26,"DUCLOS LASSALLE, Hugo",France,0,0,0,30,0,0,75,0,0,0,0,0,105
84,"PULCINA, Noah",Alliance CC,0,0,0,0,0,75,30,0,0,0,0,0,105
161,"DARR, Lee Cullen",Vantaggio Fitness & Nutrition,30,0,0,0,0,0,75,0,0,0,0,0,105
24,"VULLIEZ, Lohann",France,0,0,0,0,0,0,0,0,0,100,0,0,100
162,"JOHNSON, Noah",Vantaggio Fitness & Nutrition,0,0,0,0,0,30,30,0,0,40,0,0,100
72,"BROUSSEAU NOEL, Benjamin",Equipe du Quebec,90,0,0,0,0,0,0,0,0,0,0,0,90
74,"ROFFI, Charles",Equipe du Quebec,30,30,0,0,0,0,30,0,0,0,0,0,90
112,"GNOCCHINI, Henri",EC Subway,0,30,0,30,0,0,30,0,0,0,0,0,90
133,"HARRIS, Jack",Ignite JR Cycling,0,30,30,30,0,0,0,0,0,0,0,0,90
61,"MOCHIZUKI, Ren",Japon,0,0,0,45,0,0,30,0,0,0,0,0,75
73,"SANSCARTIER, Clovis",Equipe du Quebec,0,0,0,0,30,0,0,45,0,0,0,0,75
134,"DE GROOTE, Augustus",Ignite JR Cycling,0,0,0,0,0,75,0,0,0,0,0,0,75
141,"LAJOIE, Arnaud",Espoirs Quilicot,0,0,0,0,30,0,0,45,0,0,0,0,75
164,"MYERS, Archer",Vantaggio Fitness & Nutrition,0,0,0,0,30,0,0,45,0,0,0,0,75
32,"WATSON, Jack",USA,0,0,0,0,30,30,0,0,0,0,0,0,60
35,"HALVERSON, James",USA,0,30,0,30,0,0,0,0,0,0,0,0,60
111,"LAMOTHE, Hubert",EC Subway,0,0,0,30,0,30,0,0,0,0,0,0,60
53,"GARZA GARCIA, Marcelo Fabian",Mexique,0,0,0,0,0,0,30,0,0,0,0,0,30
62,"MIURA, Kazuma",Japon,30,0,0,0,0,0,0,0,0,0,0,0,30
83,"BOURBONNAIS, William",Alliance CC,0,0,0,0,30,0,0,0,0,0,0,0,30
105,"STAGG, Aaron",PNW Racing Foundation,0,0,0,0,0,30,0,0,0,0,0,0,30
145,"BROUILLARD, Cedric",Espoirs Quilicot,0,30,0,0,0,0,0,0,0,0,0,0,30
146,"MALLET, Jules",Espoirs Quilicot,0,0,0,0,0,0,30,0,0,0,0,0,30
