Detail,Etape,Sprint,Bourse,Bib,Coureur,Equipe
Étape 1 - Rouyn-Noranda,1,1,250,83,"BOURBONNAIS, William",Alliance CC
Étape 1 - Rouyn-Noranda,1,2,250,12,"GUILBAULT, Mikael",Canada
Étape 2 - Amos,2,1,250,83,"BOURBONNAIS, William",Alliance CC
Étape 2 - Amos,2,2,250,71,"SEGUIN, Gabriel",Equipe du Quebec
Étape 4 - Malartic,4,1,250,83,"BOURBONNAIS, William",Alliance CC
Étape 4 - Malartic,4,2,250,31,"CHURCH, Nolan",USA
Étape 5 - Boucle Senneterre,5,1,250,63,"IWAMURA, Genji",Japon
Étape 6 - Circuit urbain,6,1,250,25,"BERGAUD, Sacha",France
Étape 6 - Circuit urbain,6,2,250,83,"BOURBONNAIS, William",Alliance CC
Étape 7 - Senneterre,7,1,250,154,"SCOTT, Oliver",NorthStar Dev. Cycling
Étape 7 - Senneterre,7,2,250,154,"SCOTT, Oliver",NorthStar Dev. Cycling
