Position,Bib,TempsGeneral,ApresEtape
1,21,2:27:30,1
2,13,2:27:51,1
3,101,2:27:52,1
4,154,2:28:17,1
5,36,2:28:18,1
6,25,2:28:19,1
7,72,2:28:20,1
8,12,2:28:20,1
9,45,2:28:20,1
10,22,2:28:20,1
11,11,2:28:20,1
12,132,2:28:20,1
13,64,2:28:20,1
14,74,2:28:20,1
15,65,2:28:20,1
16,161,2:28:20,1
17,71,2:28:20,1
18,62,2:28:20,1
19,14,2:28:20,1
20,23,2:28:20,1
21,76,2:28:20,1
22,26,2:28:20,1
23,35,2:28:20,1
24,135,2:28:20,1
25,15,2:28:20,1
26,143,2:28:20,1
27,93,2:28:20,1
28,24,2:28:20,1
29,164,2:28:20,1
30,73,2:28:20,1
31,111,2:28:20,1
32,141,2:28:20,1
33,41,2:28:20,1
34,103,2:28:20,1
35,146,2:28:20,1
36,145,2:28:20,1
37,63,2:28:20,1
38,91,2:28:20,1
39,84,2:28:20,1
40,66,2:28:20,1
41,95,2:28:20,1
42,133,2:28:20,1
43,83,2:28:20,1
44,61,2:28:20,1
45,112,2:28:29,1
46,144,2:28:29,1
47,142,2:28:31,1
48,115,2:28:34,1
49,123,2:28:39,1
50,85,2:28:39,1
51,151,2:28:48,1
52,31,2:28:50,1
53,113,2:28:53,1
54,131,2:29:07,1
55,153,2:29:07,1
56,94,2:29:10,1
57,82,2:29:10,1
58,114,2:29:15,1
59,134,2:29:21,1
60,51,2:29:34,1
61,34,2:29:39,1
62,152,2:29:39,1
63,155,2:29:39,1
64,102,2:29:39,1
65,122,2:29:42,1
66,163,2:29:44,1
67,121,2:29:44,1
68,165,2:30:15,1
69,42,2:30:28,1
70,116,2:30:28,1
71,75,2:30:59,1
72,81,2:31:10,1
73,53,2:31:10,1
74,54,2:31:42,1
75,162,2:32:31,1
76,124,2:32:38,1
77,16,2:33:19,1
78,32,2:33:21,1
79,33,2:33:21,1
80,86,2:33:21,1
81,44,2:33:21,1
82,96,2:34:32,1
83,92,2:34:32,1
84,43,2:36:07,1
85,52,2:36:12,1
86,125,2:36:17,1
87,104,2:37:43,1
88,105,2:57:10,1
1,21,4:38:32,2
2,13,4:38:51,2
3,101,4:38:54,2
4,154,4:39:01,2
5,11,4:39:18,2
6,65,4:39:19,2
7,45,4:39:20,2
8,36,4:39:20,2
9,25,4:39:21,2
10,41,4:39:21,2
11,22,4:39:22,2
12,132,4:39:22,2
13,74,4:39:22,2
14,64,4:39:22,2
15,12,4:39:22,2
16,35,4:39:22,2
17,161,4:39:22,2
18,26,4:39:22,2
19,23,4:39:22,2
20,62,4:39:22,2
21,145,4:39:22,2
22,103,4:39:22,2
23,135,4:39:22,2
24,71,4:39:22,2
25,63,4:39:22,2
26,164,4:39:22,2
27,111,4:39:22,2
28,15,4:39:22,2
29,146,4:39:22,2
30,93,4:39:22,2
31,24,4:39:22,2
32,143,4:39:22,2
33,14,4:39:22,2
34,141,4:39:22,2
35,73,4:39:22,2
36,76,4:39:22,2
37,91,4:39:22,2
38,133,4:39:22,2
39,95,4:39:22,2
40,66,4:39:22,2
41,84,4:39:22,2
42,61,4:39:22,2
43,112,4:39:31,2
44,115,4:39:36,2
45,123,4:39:41,2
46,144,4:39:45,2
47,151,4:39:50,2
48,31,4:39:52,2
49,113,4:39:55,2
50,82,4:40:12,2
51,114,4:40:17,2
52,153,4:40:23,2
53,131,4:40:36,2
54,134,4:40:37,2
55,102,4:40:41,2
56,142,4:40:43,2
57,85,4:40:52,2
58,165,4:41:17,2
59,94,4:41:17,2
60,155,4:41:46,2
61,34,4:41:46,2
62,51,4:41:47,2
63,122,4:41:55,2
64,83,4:41:59,2
65,75,4:42:01,2
66,121,4:42:02,2
67,53,4:42:12,2
68,163,4:42:13,2
69,42,4:42:57,2
70,116,4:43:17,2
71,81,4:43:23,2
72,33,4:44:14,2
73,16,4:44:21,2
74,162,4:44:44,2
75,152,4:44:56,2
76,124,4:45:07,2
77,44,4:45:39,2
78,54,4:45:47,2
79,32,4:45:50,2
80,96,4:46:39,2
81,92,4:46:50,2
82,86,4:47:00,2
83,125,4:47:19,2
84,43,4:48:11,2
85,52,4:48:41,2
86,104,4:48:45,2
87,105,5:08:12,2
