Position,Bib,TempsGeneral,ApresEtape
1,101,2:27:52,1
2,22,2:28:20,1
3,64,2:28:20,1
4,74,2:28:20,1
5,135,2:28:20,1
6,15,2:28:20,1
7,93,2:28:20,1
8,164,2:28:20,1
9,111,2:28:20,1
10,141,2:28:20,1
11,103,2:28:20,1
12,145,2:28:20,1
13,91,2:28:20,1
14,66,2:28:20,1
15,112,2:28:29,1
16,142,2:28:31,1
17,115,2:28:34,1
18,123,2:28:39,1
19,85,2:28:39,1
20,113,2:28:53,1
21,153,2:29:07,1
22,82,2:29:10,1
23,51,2:29:34,1
24,34,2:29:39,1
25,152,2:29:39,1
26,155,2:29:39,1
27,102,2:29:39,1
28,122,2:29:42,1
29,165,2:30:15,1
30,42,2:30:28,1
31,116,2:30:28,1
32,81,2:31:10,1
33,124,2:32:38,1
34,32,2:33:21,1
35,86,2:33:21,1
36,44,2:33:21,1
37,92,2:34:32,1
38,52,2:36:12,1
39,125,2:36:17,1
40,104,2:37:43,1
