Position,Bib,TempsEtape,Etape
1,101,2:27:58,1
2,22,2:28:20,1
3,64,2:28:20,1
4,74,2:28:20,1
5,135,2:28:20,1
6,15,2:28:20,1
7,93,2:28:20,1
8,164,2:28:20,1
9,111,2:28:20,1
10,141,2:28:20,1
11,103,2:28:20,1
12,145,2:28:20,1
13,112,2:28:29,1
14,142,2:28:31,1
15,115,2:28:34,1
16,123,2:28:39,1
17,85,2:28:39,1
18,91,2:28:20,1
19,113,2:28:53,1
20,153,2:29:07,1
21,82,2:29:10,1
22,51,2:29:34,1
23,34,2:29:39,1
24,152,2:29:39,1
25,155,2:29:39,1
26,102,2:29:39,1
27,122,2:29:42,1
28,165,2:30:15,1
29,42,2:30:28,1
30,116,2:30:28,1
31,81,2:31:10,1
32,66,2:28:20,1
33,124,2:32:38,1
34,32,2:33:21,1
35,86,2:33:21,1
36,44,2:33:21,1
37,92,2:34:32,1
38,52,2:36:12,1
39,125,2:36:17,1
40,104,2:37:43,1
1,22,2:11:02,2
2,113,2:11:02,2
3,101,2:11:02,2
4,74,2:11:02,2
5,112,2:11:02,2
6,64,2:11:02,2
7,104,2:11:02,2
8,145,2:11:02,2
9,103,2:11:02,2
10,102,2:11:02,2
11,135,2:11:02,2
12,66,2:11:02,2
13,165,2:11:02,2
14,111,2:11:02,2
15,164,2:11:02,2
16,91,2:11:02,2
17,93,2:11:02,2
18,15,2:11:02,2
19,123,2:11:02,2
20,82,2:11:02,2
21,141,2:11:02,2
22,125,2:11:02,2
23,115,2:11:02,2
24,153,2:11:16,2
25,155,2:12:07,2
26,34,2:12:07,2
27,142,2:12:12,2
28,85,2:12:13,2
29,81,2:12:13,2
30,122,2:12:13,2
31,51,2:12:13,2
32,44,2:12:18,2
33,92,2:12:18,2
34,32,2:12:29,2
35,42,2:12:29,2
36,52,2:12:29,2
37,124,2:12:29,2
38,116,2:12:49,2
39,86,2:13:39,2
40,152,2:15:17,2
